web-scraper-order,web-scraper-start-url,judul,link,link-href,tanggal,tanggal-href,gambar,gambar-href
"1721993904-50","https://news.detik.com/indeks","","","","Warga Harap JPO Dewi Sartika Jaktim Cepat Tuntas: Susah Nyeberang di Sini","https://news.detik.com/berita/d-7459042/warga-harap-jpo-dewi-sartika-jaktim-cepat-tuntas-susah-nyeberang-di-sini","",""
"1721993904-51","https://news.detik.com/indeks","","","","Dunia Hari Ini: Semburan di Yellowstone, Turis Tunggang-langgang Selamatkan Diri","https://news.detik.com/abc-australia/d-7459038/dunia-hari-ini-semburan-di-yellowstone-turis-tunggang-langgang-selamatkan-diri","",""
"1721993904-52","https://news.detik.com/indeks","","","","Warga Minta Kawasan Monas Dibuka Sampai Malam","https://news.detik.com/berita/d-7459036/warga-minta-kawasan-monas-dibuka-sampai-malam","",""
"1721993904-53","https://news.detik.com/indeks","","","","ASN Bogor Diperas Pegawai KPK Gadungan Ditakut-takuti 'Surat Panggilan'","https://news.detik.com/berita/d-7459030/asn-bogor-diperas-pegawai-kpk-gadungan-ditakut-takuti-surat-panggilan","",""
"1721993904-54","https://news.detik.com/indeks","","","","Kisah Kesetaraan di Bangku Gereja","https://news.detik.com/x/detail/intermeso/20240726/Kisah-Kesetaraan-di-Bangku-Gereja/","",""
"1721993904-55","https://news.detik.com/indeks","","","","Sri Lanka Akan Gelar Pemilu di Tengah Krisis Reformasi Ekonomi","https://news.detik.com/dw/d-7459021/sri-lanka-akan-gelar-pemilu-di-tengah-krisis-reformasi-ekonomi","",""
"1721993904-56","https://news.detik.com/indeks","","","","Mendagri Dorong Lulusan IPDN Jadi Pemimpin dan Bawahan yang Baik","https://news.detik.com/berita/d-7459016/mendagri-dorong-lulusan-ipdn-jadi-pemimpin-dan-bawahan-yang-baik","",""
"1721993904-57","https://news.detik.com/indeks","","","","Pemkot Semarang Terima Bantuan Rp 3,1 Triliun untuk Pembangunan SPALD-T","https://news.detik.com/berita/d-7459015/pemkot-semarang-terima-bantuan-rp-3-1-triliun-untuk-pembangunan-spald-t","",""
"1721993904-58","https://news.detik.com/indeks","","","","Twibbon, Spanduk, Umbul-umbul Hari Hepatitis Sedunia 2024 Resmi Kemenkes RI","https://news.detik.com/berita/d-7459013/twibbon-spanduk-umbul-umbul-hari-hepatitis-sedunia-2024-resmi-kemenkes-ri","",""
"1721993904-59","https://news.detik.com/indeks","","","","Sindikat 'Mutilasi Bajaj' Didalangi 2 Sopir Bajaj, Sudah 18 Bulan Mencuri","https://news.detik.com/berita/d-7459010/sindikat-mutilasi-bajaj-didalangi-2-sopir-bajaj-sudah-18-bulan-mencuri","",""
